parameter_id,quantity,central_value,lower_bound,upper_bound,unit,classification,applies_to,source,doi_or_url,interpretation
al_resistivity_293k,electrical_resistivity,2.65e-8,,,ohm m,database_reference,bulk well-annealed Al 99.99%+,Desai James Ho 1984 NIST JPCRD Table 1,https://doi.org/10.1063/1.555725,Bulk reference only; powder contacts require a contact model
al_thermal_conductivity_300k,thermal_conductivity,237,,,W/(m K),database_reference,high-purity well-annealed Al,Ho Powell Liley 1972 NIST JPCRD,https://doi.org/10.1063/1.3253100,Bulk reference only
diamond_resistivity_300k,electrical_resistivity,1e13,1e13,1e14,ohm m,literature_lower_bound,undoped CVD diamond,Vandersande and Zoltan 1995,https://doi.org/10.1016/0925-9635(94)05218-2,Paper reports 1e15-1e16 ohm cm apparatus-limited values; powder type is unknown
diamond_thermal_conductivity_300k,thermal_conductivity,1350,855,2300,W/(m K),model_choice_with_database_range,type I IIa and IIb diamond,Ho Powell Liley 1972 NIST JPCRD,https://doi.org/10.1063/1.3253100,Central value is a screening choice inside the reported type-dependent range
al_young_stage5,young_modulus,12,,,GPa,paper_reproduction_parameter,Al DEM stage5,Repository Stage 03 calibrated DEM handoff,model_parameters.csv,Mechanical consistency value rather than a bulk-property claim
diamond_young,young_modulus,300,,,GPa,paper_reproduction_parameter,diamond DEM,Repository DEM model parameter,model_parameters.csv,Mechanical consistency value rather than a bulk-property claim
al_poisson,poisson_ratio,0.33,,,1,paper_reproduction_parameter,Al DEM,LIGGGHTS input peratomtypepair property,liggghts/in.dia60al40_dem_staged.liggghts,Used only in Hertz screening
diamond_poisson,poisson_ratio,0.10,,,1,paper_reproduction_parameter,diamond DEM,LIGGGHTS input peratomtypepair property,liggghts/in.dia60al40_dem_staged.liggghts,Used only in Hertz screening
clean_contact_electrical,constriction_resistance,,,,ohm,method_source,circular clean contact,Greenwood 1966 and Holm relation,https://doi.org/10.1088/0508-3443/17/12/310,R=(rho1+rho2)/(4a); excludes oxide and contamination films
hertz_contact_radius,contact_radius,,,,m,method_source,elastic spherical contact,Hertz contact law,https://pmc.ncbi.nlm.nih.gov/articles/PMC10048234/,a=(3 F Rstar/(4 Estar))^(1/3); large a/r is flagged
thermal_constriction,thermal_constriction_resistance,,,,K/W,method_source,circular contact between half spaces,Yovanovich 2005,https://doi.org/10.1109/TCAPT.2005.848483,R=(1/k1+1/k2)/(4a)
al_diamond_tbc,thermal_boundary_conductance,80e6,23e6,180e6,W/(m2 K),model_choice_with_experimental_range,bonded Al-diamond interface,Collins Chen Chen 2010,https://doi.org/10.1063/1.3480413,Surface chemistry strongly changes TBC; loose powder interface needs calibration
al_al_contact_multiplier,electrical_contact_resistance_multiplier,10,1,100,1,model_assumption,Al-Al powder contacts,Miyazaki et al. 1995 and Montes et al. 2017,https://doi.org/10.2497/jjspm.42.752,Bounded sensitivity factor over the clean Holm resistance; not a measured material constant
continuum_sigma_bounds,effective_electrical_conductivity,,100,100000,S/m,numerical_regularization,homogenized FVM and COMSOL field,Stage 04 smoke calibration,model_spec.md,Conditional continuum mapping only; not an Al-diamond effective-property claim
continuum_k_bounds,effective_thermal_conductivity,,20,100,W/(m K),numerical_regularization,homogenized FVM and COMSOL field,Stage 04 smoke calibration,model_spec.md,Conditional continuum mapping only
