source_id,quantity,central_value,lower_bound,upper_bound,unit,classification,material_state,temperature_k,source_title,doi_or_url,evidence_anchor,planned_use,limitation
al_powder_native_passivation_thickness,passivation_layer_thickness,5.5,5.0,8.0,nm,measured_powder_literature,"spherical Al powder; as-received/hot-dry lower range and humid upper boundary",293,"Surface oxide and hydroxide effects on aluminum microparticle impact bonding",https://doi.org/10.1016/j.actamat.2020.07.011,"PDF p.3 lines 240-269; p.9 lines 449-456","freeze 5/6/8 nm per-particle film sweep","cold-spray powder and impact bonding; not a quasistatic compaction calibration"
thin_film_resistance_relation,film_resistance_equation,,,,,method_source,"generic thin interfacial film",,"On the Electric Contact Resistance",https://doi.org/10.1007/s11249-022-01630-2,"Eq. 15; discussion lines 275-296","R_f=rho_f*d/A; add constriction and film contributions","continuum ohmic film approximation; native oxide can conduct nonlinearly by tunneling"
alumina_effective_tunneling_resistivity,effective_film_resistivity,1e6,1e6,1e6,ohm m,literature_screening_estimate,"approximately 3 nm Al oxide film",,"On the Electric Contact Resistance",https://doi.org/10.1007/s11249-022-01630-2,"discussion lines 294-296 citing Cyster et al.","low-resistance intact-film screening boundary","order-of-magnitude estimate; not measured on compacted powder"
alumina_bulk_resistivity,bulk_film_resistivity,1e12,1e12,1e12,ohm m,literature_screening_estimate,"bulk Al2O3",,"On the Electric Contact Resistance",https://doi.org/10.1007/s11249-022-01630-2,"discussion lines 294-296","high-resistance intact-film screening boundary","secondary value cited by the contact-theory paper; not native-powder effective resistivity"
alumina_resistivity_intermediate,effective_film_resistivity,1e9,1e9,1e9,ohm m,numerical_log_midpoint,"native Al oxide screening only",,"Project preregistration",al_oxide_contact_preregistration.md,"log midpoint between 1e6 and 1e12 ohm m","not a literature measurement or fitted parameter"
oxide_atomic_structure_sensitivity,resistance_area_dependence,,,,,mechanism_source,"Al/AlOx/Al tunnel junction atomistic models",,"Effect of atomic structure on the electrical response of aluminum oxide tunnel junctions",https://doi.org/10.1103/PhysRevResearch.2.013110,"abstract and Figs. 3/6","justify explicit defect/metallic-channel model boundary","fabricated tunnel junction; not powder contact"
aluminum_oxide_breakdown_field,dielectric_breakdown_field,4.5,4.0,5.0,MV/cm,device_film_boundary,"thermally oxidized Al2O3 in MIS capacitors",293,"Electrical conduction and dielectric breakdown in aluminum oxide insulators on silicon",https://doi.org/10.1109/16.817577,"abstract; critical field 4-5 MV/cm","diagnostic only: compare solved edge voltage over two films","different oxide preparation/substrate; not a mechanical rupture criterion"
oxide_sliding_rupture_mechanism,relative_sliding_for_resistance_drop,10,,,um,mechanism_source,"oxidized aluminum alloy sheet faying contact",,"The effect of surface roughness, oxide film thickness and interfacial sliding on the electrical contact resistance of aluminium",https://doi.org/10.1016/S0921-5093(97)00508-X,"abstract; approximately 10 um sliding produced a dramatic resistance drop","support metal-to-metal microspot interpretation","sheet spot-welding geometry; no transferable powder rupture fraction"
metallic_bridge_fraction,metallic_contact_area_fraction,,0,1,1,numerical_identifiability_sweep,"quasistatic compacted Al-Al powder contact",,"Project preregistration",al_oxide_contact_preregistration.md,"0/1e-12/1e-10/1e-8/1e-6/1e-4/1e-2/1","no source-backed rupture fraction exists for this archived DEM state; requires experiment calibration"
two_particle_film_stack,effective_film_thickness_multiplier,2,2,2,1,model_assumption,"two native-oxide-coated Al particles",,"Project preregistration",al_oxide_contact_preregistration.md,"d_pair=2*d_particle","neglects compression, roughness and local film thinning"
al_bulk_resistivity_293k,electrical_resistivity,2.65e-8,,,ohm m,database_reference,"well-annealed high-purity Al",293,"Electrical resistivity of selected elements",https://doi.org/10.1063/1.555725,"NIST JPCRD reference used by existing Stage 04 model","clean Holm constriction lower bound","powder alloy composition and temperature dependence remain uncalibrated"
